param n := 128;
param : E :   a :=
68 13    2
68 14    12
68 15    3
68 16    11
68 17    10
68 18    13
68 19    6
68 20    17
68 21    11
68 22    3
68 23    3
68 24    8
68 25    11
68 26    8
68 27    3
68 28    15
68 29    9
68 30    2
68 31    4
68 32    23
68 33    14
68 34    16
68 35    12
68 36    13
68 37    10
68 38    1
68 39    2
68 40    10
68 41    7
68 42    4
68 43    10
68 44    13
68 45    6
68 46    4
68 47    10
68 48    9
68 49    3
68 50    15
68 51    13
68 52    9
68 53    8
68 54    10
68 55    6
68 56    22
68 57    10
68 58    5
68 59    1
68 60    3
68 61    3
68 62    15
68 63    33
68 64    17
68 65    4
68 66    31
68 67    24
68 68    6
68 69    24
68 70    7
68 71    9
68 72    2
68 73    16
68 74    10
68 75    16
68 76    14
68 77    4
68 78    9
68 79    3
68 80    24
68 81    18
68 82    12
68 83    16
68 84    17
68 85    12
68 86    3
68 87    10
68 88    6
68 89    11
68 90    14
68 91    8
68 92    17
68 93    12
68 94    8
68 95    2
68 96    42
68 97    27
68 98    15
68 99    4
68 100    14
68 101    16
68 102    5
68 103    16
68 104    16
68 105    16
68 106    4
68 107    17
68 108    31
68 109    4
68 110    19
68 111    3
68 112    31
68 113    9
68 114    3
68 115    3
68 116    24
68 117    6
68 118    25
68 119    19
68 120    44
68 121    5
68 122    27
68 123    29
68 124    35
68 125    24
68 126    32
68 127    18
68 128    105
69 1    7
69 2    11
69 3    2
69 4    28
69 5    12
69 6    11
69 7    11
69 8    2
69 9    4
69 10    15
69 11    28
69 12    9
69 13    11
69 14    5
69 15    30
69 16    1
69 17    6
69 18    12
69 19    15
69 20    12
69 21    1
69 22    21
69 23    24
69 24    9
69 25    24
69 26    10
69 27    29
69 28    27
69 29    14
69 30    2
69 31    21
69 32    25
69 33    28
69 34    3
69 35    14
69 36    31
69 37    33
69 38    29
69 39    12
69 40    12
69 41    3
69 42    10
69 43    29
69 44    18
69 45    8
69 46    18
69 47    19
69 48    16
69 49    15
69 50    25
69 51    25
69 52    31
69 53    7
69 54    5
69 55    24
69 56    16
69 57    15
69 58    24
69 59    1
69 60    28
69 61    2
69 62    12
69 63    19
69 64    23
69 65    28
69 66    26
69 67    8
69 68    28
69 69    5
69 70    24
69 71    19
69 72    30
69 73    31
69 74    3
69 75    4
69 76    9
69 77    29
69 78    32
69 79    11
69 80    25
69 81    12
69 82    15
69 83    8
69 84    17
69 85    21
69 86    16
69 87    32
69 88    25
69 89    24
69 90    19
69 91    17
69 92    14
69 93    3
69 94    4
69 95    31
69 96    27
69 97    3
69 98    18
69 99    6
69 100    21
69 101    25
69 102    28
69 103    16
69 104    20
69 105    5
69 106    30
69 107    18
69 108    26
69 109    21
69 110    2
69 111    7
69 112    29
69 113    28
69 114    12
69 115    11
69 116    17
69 117    4
69 118    17
69 119    11
69 120    54
69 121    13
69 122    6
69 123    29
69 124    12
69 125    26
69 126    43
69 127    46
69 128    80
70 1    5
70 2    12
70 3    17
70 4    9
70 5    4
70 6    8
70 7    9
70 8    7
70 9    14
70 10    14
70 11    17
70 12    10
70 13    8
70 14    3
70 15    5
70 16    6
70 17    5
70 18    5
70 19    7
70 20    13
70 21    2
70 22    4
70 23    7
70 24    10
70 25    10
70 26    4
70 27    1
70 28    17
70 29    7
70 30    3
70 31    3
70 32    17
70 33    19
70 34    13
70 35    1
70 36    15
70 37    15
70 38    10
70 39    2
70 40    17
70 41    14
70 42    12
70 43    13
70 44    15
70 45    17
70 46    11
70 47    4
70 48    13
70 49    1
70 50    12
70 51    10
70 52    13
70 53    15
70 54    17
70 55    7
70 56    27
70 57    11
70 58    4
70 59    4
70 60    2
70 61    6
70 62    2
70 63    17
70 64    22
70 65    11
70 66    11
70 67    33
70 68    5
70 69    31
70 70    17
70 71    8
70 72    3
70 73    11
70 74    13
70 75    1
70 76    11
70 77    9
70 78    15
70 79    7
70 80    18
70 81    30
70 82    15
70 83    13
70 84    7
70 85    14
70 86    15
70 87    4
70 88    1
70 89    14
70 90    14
70 91    17
70 92    17
70 93    7
70 94    11
70 95    31
70 96    16
70 97    8
70 98    13
70 99    8
70 100    16
70 101    9
70 102    3
70 103    1
70 104    2
70 105    11
70 106    13
70 107    11
70 108    25
70 109    11
70 110    18
70 111    25
70 112    19
70 113    1
70 114    14
70 115    7
70 116    9
70 117    2
70 118    27
70 119    12
70 120    14
70 121    4
70 122    6
70 123    3
70 124    36
70 125    16
70 126    27
70 127    42
70 128    80
71 1    4
71 2    13
71 3    2
71 4    8
71 5    13
71 6    3
71 7    2
71 8    14
71 9    9
71 10    6
71 11    11
71 12    2
71 13    5
71 14    17
71 15    17
71 16    15
71 17    15
71 18    2
71 19    5
71 20    12
71 21    11
71 22    11
71 23    14
71 24    5
71 25    12
71 26    8
71 27    12
71 28    7
71 29    9
71 30    4
71 31    7
71 32    1
71 33    29
71 34    8
71 35    3
71 36    10
71 37    13
71 38    1
71 39    10
71 40    8
71 41    13
71 42    14
71 43    10
71 44    13
71 45    3
71 46    11
71 47    9
71 48    27
71 49    15
71 50    17
71 51    14
71 52    13
71 53    12
71 54    1
71 55    17
71 56    30
71 57    11
71 58    5
71 59    7
71 60    18
71 61    14
71 62    13
71 63    31
71 64    40
71 65    48
71 66    15
71 67    22
71 68    11
71 69    7
71 70    8
71 71    1
71 72    17
71 73    11
71 74    2
71 75    12
71 76    10
71 77    11
71 78    11
71 79    16
71 80    17
71 81    30
71 82    1
71 83    3
71 84    13
71 85    10
71 86    13
71 87    7
71 88    20
71 89    9
71 90    4
71 91    16
71 92    1
71 93    13
71 94    27
71 95    12
71 96    2
71 97    7
71 98    16
71 99    14
71 100    6
71 101    7
71 102    14
71 103    17
71 104    33
71 105    6
71 106    16
71 107    6
71 108    26
71 109    13
71 110    29
71 111    14
71 112    63
71 113    4
71 114    8
71 115    12
71 116    31
71 117    5
71 118    1
71 119    23
71 120    46
71 121    3
71 122    1
71 123    23
71 124    24
71 125    25
71 126    4
71 127    52
71 128    23
72 1    11
72 2    4
72 3    1
72 4    6
72 5    16
72 6    7
72 7    9
72 8    6
72 9    15
72 10    10
72 11    5
72 12    11
72 13    16
72 14    15
72 15    2
72 16    6
72 17    10
72 18    4
72 19    8
72 20    13
72 21    11
72 22    2
72 23    4
72 24    11
72 25    10
72 26    14
72 27    17
72 28    2
72 29    10
72 30    15
72 31    9
72 32    21
72 33    32
72 34    8
72 35    7
72 36    6
72 37    8
72 38    12
72 39    15
72 40    15
72 41    3
72 42    12
72 43    3
72 44    8
72 45    1
72 46    6
72 47    17
72 48    15
72 49    17
72 50    1
72 51    10
72 52    7
72 53    7
72 54    17
72 55    17
72 56    26
72 57    17
72 58    16
72 59    16
72 60    17
72 61    8
72 62    7
72 63    12
72 64    23
72 65    31
72 66    22
72 67    14
72 68    6
72 69    27
72 70    7
72 71    6
72 72    10
72 73    15
72 74    9
72 75    15
72 76    16
72 77    15
72 78    5
72 79    16
72 80    26
72 81    2
72 82    8
72 83    4
72 84    17
72 85    16
72 86    16
72 87    3
72 88    12
72 89    13
72 90    12
72 91    14
72 92    22
72 93    4
72 94    6
72 95    2
72 96    26
72 97    20
72 98    12
72 99    10
72 100    10
72 101    2
72 102    16
72 103    8
72 104    30
72 105    15
72 106    10
72 107    8
72 108    14
72 109    3
72 110    20
72 111    27
72 112    33
72 113    17
72 114    11
72 115    11
72 116    9
72 117    12
72 118    10
72 119    20
72 120    34
72 121    3
72 122    4
72 123    14
72 124    32
72 125    10
72 126    35
72 127    51
72 128    67
73 1    24
73 2    16
73 3    30
73 4    27
73 5    31
73 6    7
73 7    18
73 8    8
73 9    19
73 10    13
73 11    28
73 12    1
73 13    30
73 14    23
73 15    13
73 16    8
73 17    17
73 18    14
73 19    22
73 20    3
73 21    30
73 22    26
73 23    32
73 24    10
73 25    27
73 26    31
73 27    7
73 28    25
73 29    24
73 30    7
73 31    33
73 32    4
73 33    31
73 34    27
73 35    6
73 36    3
73 37    28
73 38    1
73 39    16
73 40    30
73 41    21
73 42    7
73 43    27
73 44    18
73 45    10
73 46    9
73 47    12
73 48    29
73 49    25
73 50    27
73 51    14
73 52    21
73 53    20
73 54    17
73 55    33
73 56    16
73 57    22
73 58    26
73 59    14
73 60    25
73 61    21
73 62    28
73 63    10
73 64    19
73 65    36
73 66    32
73 67    15
73 68    26
73 69    12
73 70    7
73 71    26
73 72    25
73 73    4
73 74    30
73 75    12
73 76    16
73 77    21
73 78    31
73 79    11
73 80    9
73 81    9
73 82    24
73 83    12
73 84    24
73 85    33
73 86    29
73 87    12
73 88    21
73 89    7
73 90    23
73 91    2
73 92    30
73 93    11
73 94    26
73 95    26
73 96    14
73 97    13
73 98    23
73 99    13
73 100    2
73 101    6
73 102    11
73 103    2
73 104    1
73 105    10
73 106    15
73 107    23
73 108    6
73 109    5
73 110    33
73 111    10
73 112    16
73 113    15
73 114    9
73 115    30
73 116    16
73 117    25
73 118    25
73 119    5
73 120    54
73 121    29
73 122    8
73 123    28
73 124    38
73 125    31
73 126    17
73 127    63
73 128    98
74 1    16
74 2    1
74 3    5
74 4    8
74 5    12
74 6    9
74 7    9
74 8    12
74 9    15
74 10    16
74 11    6
74 12    3
74 13    14
74 14    9
74 15    15
74 16    16
74 17    3
74 18    7
74 19    3
74 20    12
74 21    10
74 22    5
74 23    11
74 24    4
74 25    11
74 26    10
74 27    7
74 28    9
74 29    1
74 30    12
74 31    12
74 32    4
74 33    1
74 34    2
74 35    2
74 36    10
74 37    13
74 38    13
74 39    7
74 40    15
74 41    2
74 42    16
74 43    12
74 44    11
74 45    8
74 46    9
74 47    6
74 48    28
74 49    17
74 50    3
74 51    16
74 52    2
74 53    3
74 54    11
74 55    12
74 56    16
74 57    1
74 58    14
74 59    15
74 60    8
74 61    7
74 62    16
74 63    29
74 64    42
74 65    43
74 66    7
74 67    21
74 68    13
74 69    33
74 70    14
74 71    1
74 72    5
74 73    26
74 74    7
74 75    5
74 76    7
74 77    17
74 78    10
74 79    14
74 80    13
74 81    14
74 82    16
74 83    13
74 84    3
74 85    14
74 86    17
74 87    7
74 88    21
74 89    7
74 90    9
74 91    10
74 92    28
74 93    6
74 94    2
74 95    3
74 96    57
74 97    2
74 98    5
74 99    13
74 100    13
74 101    2
74 102    5
74 103    13
74 104    25
74 105    6
74 106    1
74 107    2
74 108    18
74 109    9
74 110    7
74 111    20
74 112    7
74 113    17
74 114    6
74 115    12
74 116    1
74 117    13
74 118    21
74 119    8
74 120    10
74 121    16
74 122    26
74 123    20
74 124    20
74 125    18
74 126    50
74 127    64
74 128    128
75 1    4
75 2    5
75 3    16
75 4    10
75 5    7
75 6    11
75 7    8
75 8    17
75 9    2
75 10    11
75 11    17
75 12    8
75 13    15
75 14    14
75 15    8
75 16    15
75 17    6
75 18    16
75 19    16
75 20    5
75 21    4
75 22    13
75 23    3
75 24    7
75 25    14
75 26    14
75 27    5
75 28    12
75 29    8
75 30    12
75 31    16
75 32    1
75 33    12
75 34    7
75 35    8
75 36    4
75 37    10
75 38    14
75 39    5
75 40    13
75 41    3
75 42    7
75 43    4
75 44    16
75 45    15
75 46    16
75 47    8
75 48    9
75 49    2
75 50    6
75 51    8
75 52    10
75 53    1
75 54    16
75 55    1
75 56    24
75 57    6
75 58    1
75 59    5
75 60    28
75 61    17
75 62    9
75 63    11
75 64    42
75 65    21
75 66    16
75 67    19
75 68    14
75 69    26
75 70    1
75 71    11
75 72    11
75 73    28
75 74    1
75 75    15
75 76    5
75 77    7
75 78    10
75 79    2
75 80    18
75 81    28
75 82    2
75 83    2
75 84    17
75 85    2
75 86    17
75 87    2
75 88    6
75 89    17
75 90    17
75 91    11
75 92    4
75 93    12
75 94    5
75 95    13
75 96    16
75 97    5
75 98    2
75 99    1
75 100    9
75 101    9
75 102    16
75 103    4
75 104    21
75 105    14
75 106    3
75 107    9
75 108    26
75 109    17
75 110    4
75 111    19
75 112    6
75 113    4
75 114    13
75 115    1
75 116    15
75 117    10
75 118    26
75 119    11
75 120    63
75 121    5
75 122    8
75 123    20
75 124    23
75 125    16
75 126    9
75 127    12
75 128    119
76 1    11
76 2    2
76 3    12
76 4    6
76 5    17
76 6    2
76 7    3
76 8    3
76 9    17
76 10    14
76 11    3
76 12    10
76 13    14
76 14    11
76 15    13
76 16    1
76 17    3
76 18    5
76 19    4
76 20    7
76 21    17
76 22    5
76 23    13
76 24    4
76 25    13
76 26    10
76 27    14
76 28    14
76 29    11
76 30    3
76 31    17
76 32    7
76 33    22
76 34    5
76 35    1
76 36    17
76 37    7
76 38    1
76 39    16
76 40    2
76 41    17
76 42    11
76 43    12
76 44    4
76 45    10
76 46    12
76 47    14
76 48    32
76 49    9
76 50    5
76 51    14
76 52    17
76 53    11
76 54    1
76 55    11
76 56    13
76 57    16
76 58    8
76 59    7
76 60    27
76 61    5
76 62    19
76 63    3
76 64    47
76 65    54
76 66    12
76 67    21
76 68    17
76 69    30
76 70    11
76 71    8
76 72    15
76 73    2
76 74    14
76 75    1
76 76    11
76 77    7
76 78    5
76 79    5
76 80    13
76 81    21
76 82    1
76 83    2
76 84    13
76 85    4
76 86    15
76 87    8
76 88    2
76 89    10
76 90    1
76 91    3
76 92    16
76 93    8
76 94    3
76 95    26
76 96    10
76 97    14
76 98    4
76 99    1
76 100    11
76 101    6
76 102    7
76 103    12
76 104    22
76 105    3
76 106    7
76 107    17
76 108    14
76 109    2
76 110    26
76 111    20
76 112    42
76 113    9
76 114    11
76 115    9
76 116    28
76 117    4
76 118    24
76 119    22
76 120    12
76 121    8
76 122    22
76 123    12
76 124    18
76 125    32
76 126    43
76 127    9
76 128    109
77 1    2
77 2    12
77 3    12
77 4    9
77 5    2
77 6    5
77 7    15
77 8    15
77 9    12
77 10    16
77 11    5
77 12    4
77 13    5
77 14    4
77 15    12
77 16    14
77 17    13
77 18    15
77 19    11
77 20    1
77 21    9
77 22    10
77 23    7
77 24    5
77 25    7
77 26    13
77 27    2
77 28    9
77 29    10
77 30    14
77 31    15
77 32    22
77 33    18
77 34    14
77 35    3
77 36    8
77 37    1
77 38    12
77 39    4
77 40    6
77 41    3
77 42    15
77 43    1
77 44    16
77 45    8
77 46    17
77 47    13
77 48    6
77 49    3
77 50    1
77 51    11
77 52    3
77 53    13
77 54    2
77 55    11
77 56    24
77 57    13
77 58    11
77 59    8
77 60    23
77 61    1
77 62    12
77 63    7
77 64    64
77 65    53
77 66    16
77 67    8
77 68    11
77 69    21
77 70    12
77 71    7
77 72    14
77 73    31
77 74    16
77 75    13
77 76    14
77 77    16
77 78    7
77 79    2
77 80    16
77 81    22
77 82    7
77 83    13
77 84    16
77 85    8
77 86    2
77 87    2
77 88    11
77 89    16
77 90    11
77 91    6
77 92    8
77 93    14
77 94    27
77 95    18
77 96    26
77 97    18
77 98    7
77 99    11
77 100    8
77 101    12
77 102    6
77 103    4
77 104    4
77 105    10
77 106    8
77 107    9
77 108    19
77 109    16
77 110    14
77 111    3
77 112    21
77 113    16
77 114    6
77 115    6
77 116    20
77 117    16
77 118    9
77 119    1
77 120    21
77 121    14
77 122    13
77 123    19
77 124    20
77 125    1
77 126    54
77 127    63
77 128    95
78 1    3
78 2    11
78 3    12
78 4    12
78 5    11
78 6    5
78 7    11
78 8    4
78 9    8
78 10    4
78 11    14
78 12    3
78 13    14
78 14    8
78 15    5
78 16    6
78 17    11
78 18    17
78 19    1
78 20    16
78 21    15
78 22    2
78 23    11
78 24    16
78 25    13
78 26    14
78 27    9
78 28    11
78 29    10
78 30    3
78 31    8
78 32    16
78 33    10
78 34    6
78 35    10
78 36    8
78 37    3
78 38    1
78 39    10
78 40    10
78 41    5
78 42    4
78 43    11
78 44    8
78 45    17
78 46    16
78 47    4
78 48    24
78 49    1
78 50    14
78 51    9
78 52    9
78 53    12
78 54    16
78 55    7
78 56    33
78 57    10
78 58    13
78 59    1
78 60    23
78 61    2
78 62    2
78 63    32
78 64    62
78 65    60
78 66    29
78 67    13
78 68    8
78 69    19
78 70    4
78 71    11
78 72    4
78 73    1
78 74    10
78 75    11
78 76    15
78 77    11
78 78    17
78 79    5
78 80    23
78 81    33
78 82    13
78 83    11
78 84    3
78 85    10
78 86    8
78 87    6
78 88    30
78 89    11
78 90    6
78 91    7
78 92    5
78 93    2
78 94    5
78 95    25
78 96    11
78 97    1
78 98    11
78 99    3
78 100    15
78 101    12
78 102    10
78 103    1
78 104    18
78 105    4
78 106    14
78 107    17
78 108    23
78 109    11
78 110    28
78 111    13
78 112    7
78 113    4
78 114    4
78 115    8
78 116    6
78 117    6
78 118    28
78 119    30
78 120    28
78 121    2
78 122    23
78 123    14
78 124    56
78 125    19
78 126    39
78 127    43
78 128    12
79 1    1
79 2    3
79 3    5
79 4    7
79 5    9
79 6    6
79 7    2
79 8    9
79 9    14
79 10    5
79 11    11
79 12    7
79 13    17
79 14    17
79 15    12
79 16    12
79 17    3
79 18    7
79 19    6
79 20    14
79 21    14
79 22    5
79 23    12
79 24    14
79 25    12
79 26    17
79 27    15
79 28    2
79 29    8
79 30    2
79 31    12
79 32    31
79 33    9
79 34    13
79 35    11
79 36    6
79 37    16
79 38    5
79 39    9
79 40    2
79 41    3
79 42    14
79 43    16
79 44    7
79 45    12
79 46    6
79 47    16
79 48    31
79 49    14
79 50    7
79 51    7
79 52    12
79 53    10
79 54    4
79 55    13
79 56    6
79 57    5
79 58    12
79 59    17
79 60    5
79 61    9
79 62    29
79 63    13
79 64    61
79 65    38
79 66    3
79 67    2
79 68    16
79 69    25
79 70    13
79 71    4
79 72    8
79 73    17
79 74    8
79 75    6
79 76    3
79 77    14
79 78    9
79 79    10
79 80    21
79 81    24
79 82    17
79 83    2
79 84    9
79 85    3
79 86    3
79 87    10
79 88    25
79 89    10
79 90    2
79 91    9
79 92    6
79 93    9
79 94    24
79 95    14
79 96    60
79 97    9
79 98    4
79 99    1
79 100    11
79 101    17
79 102    9
79 103    11
79 104    25
79 105    12
79 106    1
79 107    9
79 108    28
79 109    8
79 110    27
79 111    10
79 112    59
79 113    13
79 114    16
79 115    16
79 116    24
79 117    12
79 118    25
79 119    33
79 120    11
79 121    15
79 122    8
79 123    4
79 124    9
79 125    9
79 126    15
79 127    14
79 128    32
80 1    19
80 2    4
80 3    25
80 4    7
80 5    26
80 6    9
80 7    15
80 8    19
80 9    23
80 10    18
80 11    31
80 12    26
80 13    23
80 14    7
80 15    25
80 16    4
80 17    31
80 18    4
80 19    8
80 20    26
80 21    1
80 22    30
80 23    31
80 24    29
80 25    33
80 26    17
80 27    10
80 28    8
80 29    19
80 30    7
80 31    20
80 32    11
80 33    15
80 34    21
80 35    19
80 36    5
80 37    9
80 38    26
80 39    24
80 40    17
80 41    13
80 42    25
80 43    32
80 44    28
80 45    12
80 46    22
80 47    24
80 48    14
80 49    32
80 50    6
80 51    18
80 52    27
80 53    6
80 54    31
80 55    31
80 56    33
80 57    8
80 58    1
80 59    16
80 60    31
80 61    10
80 62    22
80 63    25
80 64    5
80 65    24
80 66    9
80 67    5
80 68    27
80 69    10
80 70    18
80 71    8
80 72    12
80 73    3
80 74    25
80 75    19
80 76    25
80 77    17
80 78    32
80 79    21
80 80    12
80 81    16
80 82    6
80 83    25
80 84    15
80 85    30
80 86    1
80 87    23
80 88    14
80 89    32
80 90    5
80 91    12
80 92    29
80 93    28
80 94    18
80 95    19
80 96    41
80 97    32
80 98    3
80 99    29
80 100    16
80 101    28
80 102    10
80 103    26
80 104    22
80 105    2
80 106    25
80 107    18
80 108    25
80 109    5
80 110    18
80 111    8
80 112    62
80 113    21
80 114    10
80 115    11
80 116    7
80 117    3
80 118    28
80 119    14
80 120    47
80 121    2
80 122    18
80 123    25
80 124    12
80 125    26
80 126    61
80 127    55
80 128    109
81 1    32
81 2    18
81 3    4
81 4    25
81 5    18
81 6    32
81 7    14
81 8    4
81 9    16
81 10    25
81 11    17
81 12    9
81 13    22
81 14    18
81 15    27
81 16    1
81 17    8
81 18    32
81 19    16
81 20    12
81 21    6
81 22    5
81 23    27
81 24    25
81 25    25
81 26    22
81 27    11
81 28    17
81 29    18
81 30    22
81 31    8
81 32    19
81 33    27
81 34    14
81 35    21
81 36    18
81 37    26
81 38    7
81 39    6
81 40    21
81 41    5
81 42    3
81 43    26
81 44    12
81 45    7
81 46    15
81 47    6
81 48    2
81 49    25
81 50    17
81 51    5
81 52    7
81 53    19
81 54    21
81 55    17
81 56    32
81 57    29
81 58    28
81 59    27
81 60    30
81 61    24
81 62    23
81 63    3
81 64    44
81 65    45
81 66    20
81 67    25
81 68    21
81 69    18
81 70    6
81 71    8
81 72    32
81 73    2
81 74    30
81 75    18
81 76    12
81 77    32
81 78    29
81 79    31
81 80    14
81 81    2
81 82    2
81 83    5
81 84    22
81 85    26
81 86    19
81 87    33
81 88    31
81 89    30
81 90    7
81 91    6
81 92    32
81 93    17
81 94    28
81 95    22
81 96    38
81 97    28
81 98    26
81 99    11
81 100    33
81 101    10
81 102    21
81 103    31
81 104    19
81 105    5
81 106    18
81 107    5
81 108    31
81 109    30
81 110    22
81 111    12
81 112    15
81 113    4
81 114    14
81 115    28
81 116    31
81 117    21
81 118    9
81 119    16
81 120    36
81 121    6
81 122    11
81 123    13
81 124    53
81 125    28
81 126    1
81 127    19
81 128    35
82 1    14
82 2    16
82 3    10
82 4    8
82 5    1
82 6    16
82 7    2
82 8    3
82 9    5
82 10    6
82 11    4
82 12    17
82 13    17
82 14    16
82 15    4
82 16    11
82 17    3
82 18    5
82 19    9
82 20    6
82 21    3
82 22    1
82 23    15
82 24    7
82 25    1
82 26    13
82 27    9
82 28    14
82 29    12
82 30    7
82 31    9
82 32    1
82 33    29
82 34    16
82 35    5
82 36    4
82 37    4
82 38    1
82 39    6
82 40    14
82 41    13
82 42    12
82 43    3
82 44    3
82 45    14
82 46    15
82 47    16
82 48    12
82 49    12
82 50    12
82 51    14
82 52    15
82 53    4
82 54    13
82 55    3
82 56    26
82 57    6
82 58    4
82 59    4
82 60    28
82 61    13
82 62    7
82 63    26
82 64    50
82 65    61
82 66    11
82 67    25
82 68    11
82 69    16
82 70    2
82 71    11
82 72    6
82 73    10
82 74    14
82 75    1
82 76    9
82 77    3
82 78    4
82 79    7
82 80    18
82 81    7
82 82    10
82 83    9
82 84    6
82 85    1
82 86    17
82 87    4
82 88    23
82 89    6
82 90    1
82 91    4
82 92    3
82 93    10
82 94    3
82 95    20
82 96    36
82 97    11
82 98    10
82 99    1
82 100    4
82 101    8
82 102    1
82 103    2
82 104    24
82 105    2
82 106    8
82 107    8
82 108    22
82 109    1
82 110    11
82 111    33
82 112    32
82 113    15
82 114    2
82 115    15
82 116    12
82 117    1
82 118    8
82 119    23
82 120    6
82 121    13
82 122    28
82 123    23
82 124    45
82 125    25
82 126    47
82 127    59
82 128    93
83 1    13
83 2    14
83 3    6
83 4    7
83 5    14
83 6    16
83 7    10
83 8    12
83 9    5
83 10    10
83 11    6
83 12    13
83 13    12
83 14    17
83 15    10
83 16    14
83 17    8
83 18    15
83 19    14
83 20    17
83 21    2
83 22    1
83 23    15
83 24    10
83 25    6
83 26    11
83 27    4
83 28    4
83 29    3
83 30    6
83 31    15
83 32    21
83 33    14
83 34    13
83 35    9
83 36    7
83 37    9
83 38    13
83 39    13
83 40    11
83 41    2
83 42    15
83 43    14
83 44    11
83 45    13
83 46    5
83 47    10
83 48    23
83 49    11
83 50    17
83 51    4
83 52    17
83 53    14
83 54    16
83 55    6
83 56    1
83 57    5
83 58    6
83 59    1
83 60    29
83 61    5
83 62    23
83 63    15
83 64    61
83 65    16
83 66    25
83 67    8
83 68    13
83 69    27
83 70    4
83 71    1
83 72    10
83 73    32
83 74    8
83 75    12
83 76    3
83 77    10
83 78    16
83 79    11
83 80    31
83 81    19
83 82    4
83 83    9
83 84    5
83 85    4
83 86    10
83 87    1
83 88    11
83 89    1
83 90    17
83 91    1
83 92    9
83 93    16
83 94    22
83 95    4
83 96    39
83 97    1
83 98    8
83 99    8
83 100    17
83 101    12
83 102    1
83 103    17
83 104    5
83 105    7
83 106    9
83 107    16
83 108    7
83 109    6
83 110    8
83 111    24
83 112    43
83 113    16
83 114    8
83 115    8
83 116    24
83 117    5
83 118    32
83 119    5
83 120    54
83 121    17
83 122    29
83 123    3
83 124    47
83 125    30
83 126    62
83 127    52
83 128    115
84 1    1
84 2    5
84 3    7
84 4    16
84 5    13
84 6    7
84 7    2
84 8    10
84 9    2
84 10    16
84 11    13
84 12    1
84 13    2
84 14    15
84 15    8
84 16    6
84 17    17
84 18    1
84 19    8
84 20    14
84 21    14
84 22    6
84 23    3
84 24    11
84 25    6
84 26    10
84 27    4
84 28    5
84 29    16
84 30    10
84 31    1
84 32    7
84 33    8
84 34    9
84 35    13
84 36    7
84 37    2
84 38    7
84 39    14
84 40    4
84 41    7
84 42    6
84 43    16
84 44    9
84 45    5
84 46    12
84 47    13
84 48    8
84 49    2
84 50    14
84 51    8
84 52    6
84 53    4
84 54    8
84 55    7
84 56    31
84 57    10
84 58    15
84 59    5
84 60    19
84 61    17
84 62    33
84 63    33
84 64    59
84 65    53
84 66    33
84 67    12
84 68    15
84 69    2
84 70    7
84 71    9
84 72    4
84 73    14
84 74    4
84 75    17
84 76    13
84 77    12
84 78    12
84 79    11
84 80    16
84 81    29
84 82    1
84 83    6
84 84    1
84 85    5
84 86    11
84 87    5
84 88    18
84 89    12
84 90    11
84 91    9
84 92    31
84 93    9
84 94    24
84 95    1
84 96    49
84 97    12
84 98    9
84 99    13
84 100    15
84 101    16
84 102    7
84 103    13
84 104    23
84 105    11
84 106    13
84 107    11
84 108    26
84 109    16
84 110    5
84 111    8
84 112    48
84 113    12
84 114    3
84 115    4
84 116    12
84 117    8
84 118    30
84 119    20
84 120    56
84 121    5
84 122    6
84 123    26
84 124    55
84 125    18
84 126    12
84 127    60
84 128    76
85 1    15
85 2    15
85 3    7
85 4    5
85 5    6
85 6    11
85 7    16
85 8    16
85 9    10
85 10    9
85 11    6
85 12    17
85 13    1
85 14    3
85 15    9
85 16    9
85 17    17
85 18    13
85 19    17
85 20    5
85 21    1
85 22    5
85 23    16
85 24    16
85 25    10
85 26    9
85 27    8
85 28    17
85 29    1
85 30    2
85 31    4
85 32    28
85 33    9
85 34    4
85 35    6
85 36    17
85 37    5
85 38    12
85 39    14
85 40    15
85 41    12
85 42    12
85 43    17
85 44    14
85 45    1
85 46    10
85 47    11
85 48    18
85 49    17
85 50    5
85 51    8
85 52    5
85 53    9
85 54    3
85 55    10
85 56    4
85 57    15
85 58    12
85 59    12
85 60    7
85 61    17
85 62    4
85 63    33
85 64    4
85 65    51
85 66    1
85 67    19
85 68    17
85 69    26
85 70    9
85 71    7
85 72    16
85 73    24
85 74    3
85 75    1
85 76    13
85 77    4
85 78    8
85 79    8
85 80    19
85 81    10
85 82    9
85 83    6
85 84    9
85 85    2
85 86    16
85 87    2
85 88    19
85 89    15
85 90    8
85 91    12
85 92    12
85 93    3
85 94    29
85 95    11
85 96    47
85 97    25
85 98    5
85 99    17
85 100    16
85 101    7
85 102    12
85 103    8
85 104    4
85 105    10
85 106    10
85 107    2
85 108    21
85 109    16
85 110    14
85 111    24
85 112    43
85 113    11
85 114    15
85 115    2
85 116    9
85 117    1
85 118    28
85 119    9
85 120    41
85 121    3
85 122    20
85 123    23
85 124    19
85 125    32
85 126    57
85 127    16
85 128    115
86 1    2
86 2    3
86 3    2
86 4    7
86 5    2
86 6    5
86 7    3
86 8    7
86 9    15
86 10    10
86 11    14
86 12    17
86 13    11
86 14    4
86 15    13
86 16    17
86 17    8
86 18    11
86 19    17
86 20    17
86 21    15
86 22    11
86 23    17
86 24    14
86 25    1
86 26    10
86 27    3
86 28    1
86 29    6
86 30    7
86 31    6
86 32    1
86 33    11
86 34    8
86 35    14
86 36    2
86 37    6
86 38    13
